timestamp,session_id,tab,subject,grade,category,query_snippet,input_tokens,output_tokens,total_tokens,cost_inr
2026-03-29T17:13:43,7ea32846-e107-40ef-9f7d-69270a071822,Allocate,,,none,Can i amend the assessment to include more questions?,7193,64,7257,0.6311
2026-04-05T22:31:36,7d3828f3-df8b-4ed3-9813-a9c93feafb6c,Allocate,,,none,whats the difference between efforts index and competency we,9218,172,9390,0.8466
2026-04-09T13:31:16,5d37a7bc-0080-4d26-b3bd-eada800877d4,Allocate,,,none,is there an alternative way to effort index for science?,9217,32,9249,0.7877
2026-04-09T13:31:34,5d37a7bc-0080-4d26-b3bd-eada800877d4,Allocate,,,none,what is effort index?,9211,99,9310,0.8153
2026-04-19T10:08:36,96aac11d-2ce7-4fe4-91ac-f416cee895b0,Allocate,Social Science,Grade VI,managed_agent,why can social science also not use the progression framewor,9219,166,9385,0.8441
2026-05-11T20:00:17,83f39d4c-7248-45d1-81c5-5287952bc493,My Plans,Social Science,Grade VII,managed_agent,how to achieve competency in social science,9214,73,9287,0.8046
2026-05-11T20:29:24,83f39d4c-7248-45d1-81c5-5287952bc493,My Plans,Social Science,Grade VII,managed_agent,What is a Central competency?,9213,93,9306,0.813
2026-05-14T13:17:12,cd69cf11-8b4b-4c4e-bba2-bb934499729c,Allocate,,,managed_agent,Give me an example of progression stage in science,8681,32,8713,0.7426
2026-05-14T13:19:35,cd69cf11-8b4b-4c4e-bba2-bb934499729c,Allocate,,,managed_agent,how does science lesson planning work,8678,79,8757,0.7621
2026-05-14T13:21:10,cd69cf11-8b4b-4c4e-bba2-bb934499729c,Allocate,,,managed_agent,What is cognitive transformation in social sciences,8679,92,8771,0.7677
2026-05-14T13:21:38,d90497c1-3e49-4eef-baac-4cbcc232e804,Allocate,,,managed_agent,what is cognitive transformation in science,8678,98,8776,0.7701
2026-05-14T13:22:33,5d7b3b9e-c26b-4a53-9d04-b687e003f54c,Allocate,,,managed_agent,Is mathematics closely aligned to text book and if so why,8683,113,8796,0.7768
2026-05-14T13:24:47,f59430db-aabe-4754-8ea2-b990cda49ac3,Allocate,,,managed_agent,what is present competency in social sciences,8680,91,8771,0.7673
